8인실로 예약 가능한가요?	8인실은 예약 가능해요
은은 색상이 변하죠?	끼는 동안은 안 변하거든요
하루에 몇 번 해야돼요?	바꾸실 때 쓰시면 될 것 같아요
정확히 증상이 어떻게 되시나요?	그럼 일반 소화제보다는 이렇게 한 세트로 드시는 걸 추천합니다
혹시 이거 배달하면 배달료 따로 드려야 해요?	동네마다 다르고요 이 근처면 11000원 이상 구매하시면 배달료 없어요
큰 거요? 아니면 작은 거?	놀러 갈 때 쓸만한 크기
채소류는 같이 안 파세요?	냉장 칸 보시면 채소류 팔고 있어요
이 신발은 소재가 뭔가요?	소가죽입니다
네, 어떤 색으로 하면 될까요?	톤다운 시키는게 좋으신데 전체적으로 한번 하시는게 괜찮을 것 같네요
와이파이는 다 설치가 되어 있나요	와이파이 있습니다
앉았다가 일어나면 어지럽고 그러신가요?	조금 그래요
신발이 좀 커서 35도 신어봐도 될까요?	여깄습니다
매장 안쪽에는 요 가방만 있네요?	그 가방은 칠만 구천 원이에요
레드 컬러 몇 개 추천해주세요	저희 베스트 제품인 16번 27번 추천해드릴게요
일 년 무휴에요?	없어요 첫째 주 화요일만요
배도 한 상자에 사만오천원이에요?	아니요, 배는 좀 더 비싸요. 배는 싼 거 사면 품질이 떨어져요.
제일 잘나가는 디저트는 어떤 건가요?	초코 케이크가 가장 유명해요
여기 화장실은 어디예요?	나가셔서 건물 바깥쪽에 있어요
혹시 배달되나요?	17000원 이상 되면 배달됩니다
원래는 주말에 방이 얼마쯤 해요?	원래는 10만원 중반대부터 20만원 후반대까지 있어요
선물용 제품이 따로 있나요?	따로 있습니다
저 밖에 행사하는 신발은 다 만 9천 원이에요?	맞습니다
클러치는 이것보다 작은 건 없나요?	그럼 파우치를 보셔야 해요
몇 시에 문 닫나요?	9시 반이나 10시즘 되면 닫을 것 같습니다
네 고객님 잠시만 기다려주세요	신속하게 채우셨네요
이층에 자리 있나요?	이층에 자리 있어요
사이즈 도와드릴까요?	이거 66사이즈 가져다주세요
학생이 여드름 많이 났어요?	여드름 전용 로션 여기 있어요
원장님, 뭐 하나 물어볼라고. 고 헤나염색 있잖아요? 저거는 거 한 번 할 때마다 하는 거예요? 아니면은 통으로 사놔 놓고 염색하는 거예요?	한 번만 하셔도 되고 통으로 사셔서 해도 괜찮아요
주차는 한 대만 가능한가요?	두 대까지 주차권 드려요
주로 많이 나가는 제품은 어떤 것인가요?	깔끔한 맛을 원하시면 아메리카노가 제일 잘 나가고, 달달한 맛을 좋아하시면 라떼나 바닐라라떼 처럼 우유 들어간 음료도 많이 찾으세요
파마는 조금 있다가 할까요?	손상된 머리를 조금 잘라내고 파마를 하는 게 좋을 것 같습니다
대실 가능한가요?	지금은 숙박만 가능해요
현금으로 계산 가능한가요?	저희 매장에는 카드 결제만 가능합니다
혹시 전단지 같은거	저흰 따로 수거배달 안한니깐 전단지 같은 건 없어요. 여기 기본요금, 표준요금표 붙여져 있고요.
네 이제 헤드셋 잘 들리세요?	이건 잘 들려요
네 모두 얼마인가요?	12000원입니다
한 시간에 얼마에요	2000원이요
인절미 한 되 하는데는 얼마예요?	인절미는 한 되에 2만2천원이에요
이월 상품은 언제 거예요?	작년 신상으로 나온 상품이에요
민감성 피부인가요?	민감성 피부용이에요
생크림은 시중에서 파는 제품으로 하시는거에요?	저희 가게에서 파는 생크림 저희가 직접 만들어요
많이 비싸네	보통 20만 원 이하 신발은 없어요
이런 소재는 좀 딱딱해서 발이 아프려나?	조금은 딱딱할 수 있습니다
할인하니 가격이 엄청나게 싸네요?	할인하니까 제일 저렴한 거 쓰시는것 보다 좋아요
카카오페이나 삼성페이도 가능한가요?	카카오페이랑 삼성페이 둘 다 가능하세요
김밥은 혹시 예약이 가능한가요?	예약 가능해요
혹시 여기 달서구 두류동에 성안 오피스텔 배달되나요?	갑니다
이 케이크는 작은 건 얼마고 큰 거는 얼마에요?	이 케이크는 작은 거는 이만오천원, 큰 거는 삼만오천원이에요
요거는 어디 제품이에요?	코리아나 제품이에요
다 켜져 있는데 안돼요	바꿔드릴게요
언제 필요하신가요?	내일 저녁 8시에 필요해요
어떤 젓갈로 드릴까요?	낙지 젓갈 만 원어치만 주세요
그럼 먹고갈게요	알겠습니다
콜라 큰거랑 작은거 어떤거요	큰거로 주세요
이 떡도 쑥떡이에요?	이 떡은 깨, 설탕이 들어간 송편이에요.
쑥떡 저거 하나에 얼마씩이에요	3천 원입니다.
저기 있는 파채까지 해서 얼마인가요?	삼겹살 두근 19000원, 파채 2000원 해서 21000원이에요
특실은 얼마에요?	특실은 1박에 8만 원이에요
네 여학생이면 요즘 뜨는 차콜이 어떠세요	글쎄요
쿠폰 있으신가요?	진동벨로 알려드리겠습니다
음료 다 못먹으면 테이크 아웃도 해주시죠?	테이크 아웃 해드립니다
가래떡은 얼마인가요?	8000원 입니다.
아니요 내 머리가 이런데 어떤 가발이 괜찮을까요?	이런 게 어울리겠습니다
몇 줄 드릴까요?	5줄 주세요
이건 면이예요?	면이예요
주소가 어딥니까?	여기 화성 쌍용타운 102동 1511호
바비큐 재료는 저희가 구매해서 가지고 가야 하죠?	바비큐 재료는 가지고 오셔야 해요
혹시 안에 속굽이 있는것도 있나요?	잠시만 기다리세요
텀블러 할인 있나요?	텀블러 할인은 없어요
배달의 민족 앱 이용하지 않고 바로 연락드리면 이 가격인가요?	요기요만 배달료가 2000원 있어요
이런 데는 어떻게 닦아요?	이런 데는 abc마트 같은 곳에서 파는 지우는 거 사서 지우셔야 해요
이번 주말에 숙박할 수 있는 방이 있나요?	있어요
이번 주말 트윈룸으로 하나 예약해주실래요?	예약해 드릴게요
일요일도 열어요?	둘째 넷째 쉬어요
주차장 있나요?	건물 뒷편에 하시면 됩니다
그 메뉴가 어떤 거 어떤 게 있어요?	튀김 종류하고 찜닭하고 있습니다
커트 가격은 포함된 건가요?	파마하시면 커트 포함해 서비스해 드려요
금연실로 주세요	1에서 7번까지가 금연석이에요
네 영수증 좀 주세요	여기있습니다
냉장고하고 다 있죠?	냉장고는 방에 있어요
네 명 자는데 방은 침대에요, 온돌이에요?	방은 온돌이에요
정우성 씨 이름으로 독채 1박 예약하신 거 맞죠?	맞아요
사과나 배가 가격이 비슷하죠?	배가 더 비싼 편이죠. 원래 사과가 더 비싼데, 올해는 배가 더 비싸요.
세면도구나 이런 건 다 구비되어있나요?	칫솔이랑 면도기나 화장품만 없어요
차는 어디 세워요?	가게 앞에 대시면 돼요
더블 모카가 초코라떼에요?	맞아요
처음 왔는데 먹고 갈려고 하는데	편하신데 앉으세요
소갈비 삼만원이면 몇 근이에요?	소갈비 삼만원이면 두 근이에요
아니오 차슈는 뭐에요?	차슈가 여기 올라가는 돼지고기예요
이 제품으로 하시겠어요?	그 제품이랑 이 화장솜 하나 주세요
떡볶이 1인분 가격 어떻게 되나요?	3000원입니다
떡국은 안되죠?	없어요
어머니 연세가 어떻게 되세요?	50대 중반이세요
데워드릴까요?	데워주세요.
케쳡은 2개 넣어주세요	고객님
상주가 곶감이 유명하잖아. 이게 3만원예?	백화점에 들어가는 거랑 똑같은 물건인데, 거기서는 4만원에 팔고, 저희는 3만원에 팔아요
또 안 들어와요?	이건 다 끝났어요
현금으로는 결제가 안되나요?	처음 사용하는거다보니 좀 어렵네요
여기 몇 시부터 몇 시까지 열어놔요?	열한시부터 열아홉시에 닫아요
입실시간 보다 일찍 왔는데 입실 가능할까요?	라벤더방은 입실 준비가 덜 되어 있어 30분만 기다려주세요
겉옷은 뭐가 잘나가요?	이 옷도 가볍게 입기도 좋아요
순금 귀걸이 있나요	있습니다
베리 케이크랑 크림이 다르다는 거죠?	베리 케이크는 블루베리랑 라즈베리 같이 준비해드립니다
지금 프로모션 기간이라서 할인가에 구매도 가능해요	천천히 둘러보세요
싸이버거는 뭐로 만들어졌어요?	닭 다리 살 패티랑 양상추랑 양파 소스요
아이들에게 사줄 건데 초콜릿이랑 뭐가 좋을까요?	아이들은 젤리나 아이스크림이 좋을 것 같아요
와이셔츠 사려고 하는데 어디 있나요?	이쪽에 있습니다.
지금 주문하려는데요 영업시간이 몇시인가요?	저희 매장은 새벽 3시까지 영업합니다
후불도 가능한가요?	후불은 안됩니다
예 따뜻하게 주세요	할인해서 총 오천 원입니다
스위트룸으로 주세요	여기 방 카드키 드릴게요
찐빵은 얼마에요?	찐빵 가격은 2000원이요
제가 어떻게 하면 될까요?	모니터가 이렇게 가방에 걸리네
몇 시에서 몇 시까지 영업하시나요?	9시부터 12시까지 영업합니다
가방 매는 거 보고 있어요	여기 있어요
몇 살부터 추가 요금 있나요?	만 3세부터요
예약하고 왔는데 테이블 세팅되어 있나요?	준비되어 있습니다.
근처에 고기나 식사할 수 있는 곳 있을까요?	안내해 드릴게요
가격은 날짜별에 다른데, 원하시는 날짜가 언제세요?	사월 삼일 일박 이일로요
아 그러면 배달비도 따로 내야 되나요?	배달비는 없습니다
발 편한 신발 찾으시면 이런 거 어떠세요?	앞에 막혀있는 거요
팥빵은 얼마 해요?	팥빵 가격은 5개에 2500원이에요
그럼 혹시 주차할 수 있는 공간은 있을까요?	주차 공간은 없습니다
이 것은 얼마어치 씩 팔아요?	5천 원씩 팔아요
구입하신 블라우스 좀 보여주시겠어요?	여기 있어요
어머니가 엉덩이를 다쳤는데 파스를 사오라 하는데 뭐 좋은 거 있어요?	일단은 파스 붙여보세요
네. 퇴실은 몇 시에 하실 건가요?	방 안내해 드릴게요
여기 문은 몇 시에 열어요?	저희 오픈은 11시부터예요
저녁에는 그냥 메뉴는 안돼요?	찌개같은 거 드셔도 되는데 저녁에는 거의 생오리 삼겹살 같은 메뉴들이 예약이 많아요
커피는 로스팅 된 거를 쓰시나요?	로스팅을 되어있는 걸 들고옵니다
현금영수증 돼요?	현금영수증 발급 도와드릴게요
치즈버거 하나요	총 6000원 입니다
떨어져 앉아도 되나요?	괜찮아요
크림 있고 빨간 토마토 있고	이거는 크림인데 약간 맵고 이런 건 로제 파스타입니다
저녁에 마감시간은 몇 시예요?	새벽 1시예요
짬뽕 배달용기 어떻게 오나요?	일회용그릇으로 배달합니다
전화로?	1600-9999로 전화하시거나 어플까시면 되요
거울은 어디에 있나요?	거울 이쪽에 있습니다
교환, 환불은 얼마만에 돼요?	이주 정도 가능하시고요 가방은 따로 안돼요
안에도 딸기가 들어 있네요?	딸기 맞아요. 우리 집에서 가장 잘 팔리는 제품이에요
방에 몇 명이죠?	자리가 다섯명, 열명 이렇게 들어가는 방이 있습니다
염색이랑 파마 모두 가능한가요?	가능합니다
이거는 얼마예요?	그거는 만 이천 원이요
얼마 신으시는데요?	사십 사십오 이래 신거든예 볼 때문에
전부 과일 인가요?	생과일쥬스 집이에요
네 드시고 가시나요?	포장해주세요
여기서 기다려도 괜찮아요?	오늘 처음 오신 것 같네요
오래된거 아니죠?	오늘 새벽에 갖고온 싱싱한 딸기예요
빵은 주로 언제 나와요?	빵은 아침에 한 번 그리고 점심쯤에 한 번 이렇게 나와요
차 대는 데는 없죠?	지정 주차장은 없습니다
덩치가 많이 큰데 큰 건 없죠?	많이 크면 남자 거 105를 입어야 돼요
소화제 어떤 게 좋나요?	요새 베나치지가 인기예요
포장이 많죠?	먹고 가시는 분들도 많고 포장도 많아요
가격이 부담되네요	할부도 가능합니다
한복도 줄여주나요?	한복 수선 가능합니다
당근 케이크 할게요	그러면 저희가 200원 거슬러 드릴게요
혹시 지금 한정판 상품 판매 중인가요?	판매합니다
밑창 까는 거는 아니다 그죠?	밑창 따로 없어요
이게 맘에 드는데 입어볼 수 있을까요?	피팅룸은 이쪽입니다
여기 혹시 카카오페이 결제도 되는가요?	카카오페이 결제는 안됩니다
문자로 에그 불고기버거랑 치킨랩 같이 구매하면 5000원이라고 왔던데 지금 행사하고 있어요?	맞아요
제가 찾는 것은 가죽도 좋지만 인조가죽을 찾아요	인조가죽이 실용성이 좋지요
네 이 카드로 결제해주세요	카드 받았고 여기 전화번호랑 성함 적어주세요
일요일도 영업하나요?	일요일마다 문 닫아요
회원 번호 알려주시겠어요?	회원 번호는 1234567입니다
약간 등산화처럼 이래 안전화가 나오네요?	잘 나와요
회원등록 되어 있으시면 전화번호 알려주세요	우리 애한테 한번 물어보고, 010-0000-0000
예 여기는 시간당 돈도 안 받고 하는 건가요?	그리고 가르쳐줄 사람이 없습니다
얼마죠?	2인실 1박에 7만 원이에요
